sl_no,ministry,sector,project_name,agency,project_id,legacy_ocms_code,pmgid,state,approval_date_mm_yyyy,start_date_mm_yyyy,original_target_doc_mm_yyyy,revised_target_doc_mm_yyyy,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,report_month,source_pdf_page,source_file,snapshot_date,anticipated_target_doc_mm_yyyy,anticipated_cost_crore,clean_project_id,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,burn_rate_pct,burn_progress_gap,cost_variation_pct,time_elapsed_ratio,delay_months_actual,is_delayed,is_cost_overrun
514,,,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF KALWAHAN-MANDI SECTION (KM 208.950 TO KM 2,MoRTH,N24001470,,,,8-2020,,4/2025,,314.32,314.32,49.26,51.0,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,4/2025,,N24001470,314.32,314.32,49.26,51.0,15.671926698905574,-35.32807330109443,0.0,0.61,0.0,0,0
513,,,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF HAMIRPUR- KARNOHAL SECTION (KM 141.000 TO K,MoRTH,N24001447,,,,8-2020,,12/2024,,371.93,371.93,154.04,81.0,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2024,,N24001447,371.93,371.93,154.04,81.0,41.41639555830398,-39.58360444169602,0.0,0.91,0.0,0,0
489,,,4- LANING OF ROHTAK-JIND SECTION FROM KM. 307+000 TO KM. 347+800 OF NH-71 AND CONNECTING LINK FROM K,NHAI,N24001673,,,,3-2020,,3/2023,01-11-2024,510.97,510.97,529.0,97.3,April-June 2025 Q1,114.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2025,,N24001673,510.97,510.97,529.0,97.3,103.52858289136348,6.228582891363487,0.0,1.073,0.0,0,0
490,,,CONSTRUCTION OF GURGAON - PATAUDI - REWARI SECTION OF NH-352W (DESIGN LENGTH 46.11 KM) AS FEEDER ROU,NHAI,N24001774,,,,12-2020,,11/2023,,1524.03,1524.03,1105.1,67.61,April-June 2025 Q1,114.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2024,,N24001774,1524.03,1524.03,1105.1,67.61,72.5116959639902,4.901695963990207,0.0,0.7761,0.0,0,0
491,,,CONSTRUCTION OF PROPOSED REWARI BYPASS (DESIGN LENGTH 14.4 KM) NH-11 AS A FEEDER ROUTE IN THE STATE,NHAI,N24001775,,,,2-2020,,1/2023,01-12-2024,808.31,958.0,930.44,100.0,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2024,,N24001775,808.31,958.0,930.44,100.0,97.1231732776618,-2.876826722338194,18.518885081218848,1.1,0.0,0,1
492,,,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,N24001783,,,,11-2018,,9/2021,,2252.75,2252.75,1223.07,99.95,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,4/2025,,N24001783,2252.75,2252.75,1223.07,99.95,54.29230939962268,-45.65769060037732,0.0,1.0995000000000001,0.0,0,0
493,,,UPGRADATION OF EXISTING 4 LANE ISMAILABAD-AMBALA SECTION (KM. 0+000 TO KM 42+500) (PART OF AMBALA-KO,NHAI,N24002037,,,,1-2023,,12/2025,,609.32,609.0,204.06,52.5,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2026,609.0,N24002037,609.32,609.0,204.06,52.5,33.50738916256158,-18.99261083743842,-0.05251756055932022,0.625,0.0,0,0
494,,,CONSTRUCTION OF 6-LANE GREENFIELD KARNAL RING ROAD STARTING FROM NH-44 NEAR VILLAGE SHAMGARH (DESIGN,NHAI,N24002038,,,,11-2022,,8/2025,,1691.45,1998.0,649.71,58.76,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,8/2025,1998.0,N24002038,1691.45,1998.0,649.71,58.76,32.51801801801802,-26.24198198198198,18.1235035029117,0.6876,0.0,0,1
495,,,CONSTRUCTION OF 6-LANE GREENFIELD AMBALA RING ROAD STARTING FROM JUNCTION WITH SHAMLI-AMBALA SECTION,NHAI,N24002039,,,,2-2023,,10/2025,,1088.64,1178.0,425.85,53.55,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,10/2025,1178.0,N24002039,1088.64,1178.0,425.85,53.55,36.150254668930394,-17.399745331069603,8.20840681951792,0.6355,0.0,0,0
496,,,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM RANIPUR BARSI (SAHARANPUR DISTRICT) TO ADHOYA,NHAI,N24002040,,,,4-2022,,5/2025,,1554.21,1554.21,522.92,54.0,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,5/2028,,N24002040,1554.21,1554.21,522.92,54.0,33.64538897574973,-20.354611024250268,0.0,0.64,0.0,0,0
497,,,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM ADHOYA MUSALMANA (AMBALA DISTRICT) TO SADOPUR,NHAI,N24002041,,,,4-2022,,5/2025,,1491.71,1491.71,706.26,49.7,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,5/2025,,N24002041,1491.71,1491.71,706.26,49.7,47.345663701389675,-2.3543362986103276,0.0,0.5970000000000001,0.0,0,0
498,,,CONSTRUCTION OF 4-LANING OF BHIWANI HANSI ROAD SECTION OF NH 148B (DESIGN LENGTH 42.934 KM) UNDER BH,NHAI,N24002042,,,,11-2022,,12/2025,,1322.13,1322.13,393.46,93.01,April-June 2025 Q1,115.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24002042,1322.13,1322.13,393.46,93.01,29.759554658013958,-63.25044534198605,0.0,1.0301,0.0,0,0
499,,,CONSTRUCTION OF 4-LANE GREENFIELD JALBEHRA - SHAHBAD SECTION OF NH ? 152G FROM KM 0+000 TO KM 22+850,NHAI,N24002043,,,,3-2022,,6/2025,,927.22,1173.66,504.21,83.5,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,10/2025,1173.66,N24002043,927.22,1173.66,504.21,83.5,42.96048259291447,-40.53951740708553,26.57837406440759,0.9349999999999999,0.0,0,1
648,,,REBUILDING OF COKE OVEN BATTERY NO.6 OF BOKARO STEEL PLANT,SAIL,N12000133,,,,11-2023,,11/2026,,627.31,627.31,84.56,35.0,April-June 2025 Q1,132.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,11/2026,,N12000133,627.31,627.31,84.56,35.0,13.479778737785148,-21.520221262214854,0.0,0.44999999999999996,0.0,0,0
500,,,4L AMBALA - KALAAMB FROM KM. -0.800 TO KM. 33.015 OF OLD NH-72,NHAI,N24002044,,,,6-2023,,6/2025,,629.16,629.16,154.0,98.9,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2025,,N24002044,629.16,629.16,154.0,98.9,24.477080551846907,-74.4229194481531,0.0,1.0890000000000002,0.0,0,0
502,,"DEPARTMENT
OF HIGHER
EDUCATION",ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR,CPWD EDUCATION,N42000008,,,,9-2018,,6/2022,01-12-2024,392.51,446.43,316.16,91.5,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,8/2025,,N42000008,392.51,446.43,316.16,91.5,70.8196133772372,-20.680386622762796,13.737229624722941,1.0150000000000001,0.0,0,1
503,,,CONSTRUCTION OF PERMANENT CAMPUSES OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND DHARAMSHAL,CPWD,N42000011,,,,3-2021,,11/2024,01-07-2025,512.37,300.45,169.63,74.0,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2025,300.45,N42000011,512.37,300.45,169.63,74.0,56.458645365285406,-17.541354634714594,-41.360735406054225,0.84,0.0,0,0
504,,POWER,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,180100210,,,,9-2002,,9/2009,01-04-2025,3919.59,13045.0,12832.59,100.0,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,4/2025,,180100210,3919.59,13045.0,12832.59,100.0,98.37171330011498,-1.6282866998850238,232.8154220211808,1.1,0.0,0,1
505,,,LUHRI HYDROELECTRIC PROJECT (STAGE1),SJVN,N18000279,,,,11-2020,,1/2026,,1810.56,3584.53,1732.67,51.32,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2028,,N18000279,1810.56,3584.53,1732.67,51.32,48.337438938996186,-2.982561061003814,97.97907829621776,0.6132,0.0,0,1
506,,,DHAULASIDH HYDROELECTRIC PROJECT (66 MW),SJVN,N18000291,,,,10-2020,,11/2025,,687.97,1511.87,891.77,67.61,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2027,,N18000291,687.97,1511.87,891.77,67.61,58.984568779061696,-8.625431220938303,119.7581289881826,0.7761,0.0,0,1
507,,,SUNNI DAM HYDRO ELECTRIC PROJECT,SJVN,N18000344,,,,1-2023,,4/2028,,2614.51,4540.71,948.35,29.41,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2028,,N18000344,2614.51,4540.71,948.35,29.41,20.88550028519769,-8.52449971480231,73.67346080145035,0.3941,0.0,0,1
508,,RAILWAYS,BHANUPALI-BILASPUR BERI NL,RVNL,N22000273,,,,4-2008,,12/2026,,13370.29,6753.42,5369.57,0.0,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2025,,N22000273,13370.29,6753.42,5369.57,0.0,79.50890067550958,79.50890067550958,-49.48935288613785,0.1,31.8,1,0
509,,"ROAD
TRANSPORT
AND HIGHWAYS",REHABILITATION AND UPGRADATION TO 2- LANE/2-LANE WITH PAVED SHOULDERS/4- LANE CONFIGURATION OF PAONTA,MoRTH,N24001381,,,,8-2020,,4/2021,,272.98,272.98,140.69,100.0,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,4/2021,,N24001381,272.98,272.98,140.69,100.0,51.538574254524136,-48.461425745475864,0.0,1.1,0.0,0,0
510,,,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF HEWNA-ASHYARI SECTION (KM 25.000 TO KM 50.,MoRTH,N24001382,,,,8-2020,,3/2021,,242.8,242.8,100.95,94.76,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2024,,N24001382,242.8,242.8,100.95,94.76,41.57742998352553,-53.18257001647447,0.0,1.0476,0.0,0,0
511,,,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI-GUMMA SECTION (KM 75,MoRTH,N24001383,,,,8-2020,,4/2021,,349.2,349.2,239.34,100.0,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,4/2021,,N24001383,349.2,349.2,239.34,100.0,68.53951890034364,-31.460481099656363,0.0,1.1,0.0,0,0
512,,,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF ASHYARI-SHRI KYARI SECTION (KM 50.000 TO K,MoRTH,N24001422,,,,2-2021,,9/2021,,345.89,345.89,178.19,95.08,April-June 2025 Q1,117.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2024,,N24001422,345.89,345.89,178.19,95.08,51.516378039261035,-43.56362196073896,0.0,1.0508,0.0,0,0
501,,,CONSTRUCTION OF GREENFIELD CONNECTIVITY TO JEWAR INTERNATIONAL AIRPORT FROM DND FARIDABAD BALLABHGAR,NHAI,N24002048,,,,7-2022,,6/2025,,2414.67,2898.0,1232.13,49.1,April-June 2025 Q1,116.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2026,2898.0,N24002048,2414.67,2898.0,1232.13,49.1,42.51656314699793,-6.58343685300207,20.01639975648846,0.591,0.0,0,1
433,,,TARANGA HILL ABU ROAD VIA AMBAJI NEW LINE,NWR,N22000592,,,,7-2022,,7/2030,,2798.16,2798.16,1103.16,12.5,April-June 2025 Q1,108.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2026,,N22000592,2798.16,2798.16,1103.16,12.5,39.42447894330561,26.92447894330561,0.0,0.225,10.8,1,0
649,,,REPLACEMENT OF REMAINING 04 NOS. OF BATTERY CYCLONES WITH 04 NOS. OF ESPS IN SINTER PLANT-1 AT BSL,SAIL,N12000135,,,,3-2024,,6/2026,,260.37,260.37,44.22,18.0,April-June 2025 Q1,132.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2026,,N12000135,260.37,260.37,44.22,18.0,16.983523447401776,-1.016476552598224,0.0,0.28,0.0,0,0
651,,,SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II AT BOKARO STEEL PLANT,SAIL,N12000143,,,,1-2025,,10/2026,,207.13,207.13,,5.0,April-June 2025 Q1,132.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,10/2026,,N12000143,207.13,207.13,0.0,5.0,0.0,-5.0,0.0,0.15000000000000002,0.0,0,0
788,,PETROLEUM,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF,BPCL,N16000518,,,,5-2023,,5/2028,,43367.0,43367.0,1687.0,13.0,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,5/2028,,N16000518,43367.0,43367.0,1687.0,13.0,3.890054649848963,-9.109945350151037,0.0,0.23,0.0,0,0
789,,,SHAJAPUR 325MW SOLAR PV PROJECT,NTPC,N18000348,,,,6-2022,,3/2024,01-06-2025,1530.49,1578.34,1219.41,100.0,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2025,,N18000348,1530.49,1578.34,1219.41,100.0,77.25901896929686,-22.74098103070314,3.126449699115964,1.1,0.0,0,0
790,,,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,PGCIL,N18000392,,,,8-2024,,8/2026,,2708.0,2708.0,622.84,25.7,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,8/2026,,N18000392,2708.0,2708.0,622.84,25.7,23.0,-2.6999999999999993,0.0,0.357,0.0,0,0
791,,,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-2 5.5GW] [JAISALMER/BARME,PGCIL,N18000399,,,,10-2024,,10/2026,,3674.0,3674.0,345.36,12.7,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,10/2026,,N18000399,3674.0,3674.0,345.36,12.7,9.400108873162766,-3.299891126837233,0.0,0.227,0.0,0,0
792,,RAILWAYS,"RAMGANJMUNDI-BHOPAL (NL),WCR",WCR,220100314,,,,4-2001,,12/2025,01-12-2025,3032.0,3032.46,3513.09,69.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2026,5125.16,220100314,3032.0,3032.46,3513.09,69.0,115.84950831997784,46.84950831997784,0.01517150395778484,0.7899999999999999,0.0,1,0
793,,,RATLAM-MHOW-KHANDWA-AKOLA (GC),WR,N22000120,,,,4-2008,,2/2027,01-02-2027,5677.88,5677.8,4314.25,80.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,2/2027,6203.51,N22000120,5677.88,5677.8,4314.25,80.0,75.98453626404593,-4.0154637359540715,-0.0014089765898526781,0.9,0.0,0,0
794,,,KATNI - SINGRAULI DOUBLING PROJECT,WCR,N22000351,,,,12-2015,,12/2026,01-12-2027,2445.29,2445.3,3122.03,92.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2027,4353.5,N22000351,2445.29,2445.3,3122.03,92.0,127.67472293788083,35.67472293788083,0.0004089494497674419,1.02,0.0,0,0
795,,,KATNI GRADE SEPARATOR/BYE PASS,WCR,N22000416,,,,8-2016,,9/2024,01-06-2025,1247.64,1247.64,1453.81,89.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,9/2024,2300.0,N22000416,1247.64,1247.64,1453.81,89.0,116.52479882017248,27.524798820172478,0.0,0.99,0.0,0,0
796,,,ANUPPUR-KATNI,SECR,N22000485,,,,4-2015,,12/2021,01-12-2023,1860.94,1680.0,1955.51,100.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2025,2311.02,N22000485,1860.94,1680.0,1955.51,100.0,116.39940476190476,16.399404761904762,-9.723043193224932,1.1,0.0,0,0
797,,,NIMACH BADI SADRI NEW LINE PROJECT,WR,N22000503,,,,4-2017,,3/2022,01-12-2026,495.18,495.18,306.32,46.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2026,,N22000503,495.18,495.18,306.32,46.0,61.8603336160588,15.860333616058803,0.0,0.56,0.0,1,0
798,,,NIMACH-RATLAM (133 KM),WR,N22000536,,,,10-2021,,10/2027,01-12-2025,1095.88,1095.88,1197.14,72.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,1095.88,N22000536,1095.88,1095.88,1197.14,72.0,109.24006278059642,37.24006278059642,0.0,0.82,0.0,1,0
799,,,SATNA - REWA (50 KM),WCR,N22000554,,,,11-2015,,3/2026,,500.0,40.0,1.41,80.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2026,500.0,N22000554,500.0,40.0,1.41,80.0,3.5249999999999995,-76.475,-50.0,0.9,0.0,0,0
800,,,INDORE BUDNI (INDORE JABALPUR),RVNL,N22000601,,,,9-2018,,9/2030,,7474.01,7393.75,1004.86,0.0,April-June 2025 Q1,149.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,9/2030,,N22000601,7474.01,7393.75,1004.86,0.0,13.590667793744718,13.590667793744718,-1.0738545974650853,0.1,0.0,0,0
801,,"ROAD
TRANSPORT
AND HIGHWAYS",4LBERKHEDI TO GODPEHRA NH-44,NHAI,N24001614,,,,2-2022,,11/2024,,524.84,524.84,2455.45,60.0,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001614,524.84,524.84,2455.45,60.0,300.0,200.0,0.0,0.7,0.0,1,0
802,,,4L OF SAGAR - MOHARI FROM KM.8 TO KM.50 (PKG-I),NHAI,N24001615,,,,3-2021,,4/2024,01-06-2025,790.78,790.78,2141.21,77.02,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2025,,N24001615,790.78,790.78,2141.21,77.02,270.7718961025823,193.7518961025823,0.0,0.8702,0.0,0,0
803,,,2L PS OF SATNA - MAIHAR SECTION OF NH- 135BG FROM KM 80.800 TO KM 120.125,NHAI,N24001616,,,,1-2021,,10/2023,,428.04,428.04,351.97,100.0,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,2/2025,,N24001616,428.04,428.04,351.97,100.0,82.22829642089525,-17.771703579104752,0.0,1.1,0.0,0,0
804,,,KATNI BYPASS FROM KM. 359.50 TO KM. 378.50,NHAI,N24001618,,,,9-2019,,9/2022,,194.4,235.0,208.32,98.84,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,2/2025,235.0,N24001618,194.4,235.0,208.32,98.84,88.6468085106383,-10.193191489361709,20.88477366255144,1.0884,0.0,0,1
805,,,4L OF CHANDESARA TO KHEDAKHAJURIYA FROM KM. 0.000 TO (N.A.) 750 AND KM 0.000 TO KM 41.400 OF NH-752D,NHAI,N24001759,,,,1-2020,,6/2024,01-12-2025,909.84,909.84,503.76,99.0,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001759,909.84,909.84,503.76,99.0,55.367976787127404,-43.632023212872596,0.0,1.09,0.0,0,0
806,,,INDORE - HARDA (PKG-III) [NANASA TO PIDGAON SECTION FROM KM 95.000 TO KM 142.445],NHAI,N24001762,,,,10-2021,,1/2024,01-12-2025,1146.22,1146.22,663.1,91.4,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001762,1146.22,1146.22,663.1,91.4,57.85102336375216,-33.54897663624784,0.0,1.014,0.0,0,0
807,,,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION OF N",NHAI,N24001765,,,,8-2022,,7/2024,,207.77,207.77,147.24,100.0,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001765,207.77,207.77,147.24,100.0,70.86682389180343,-29.133176108196565,0.0,1.1,0.0,0,0
808,,,INDORE - HARDA (PKG-I) [INDORE TO RAGHAV GARH FROM KM. 0.25 TO KM. 26.903],NHAI,N24001766,,,,1-2022,,10/2024,,1011.29,1011.29,318.76,70.68,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001766,1011.29,1011.29,318.76,70.68,31.52013764597692,-39.15986235402309,0.0,0.8068000000000001,0.0,0,0
809,,,4L OF INDORE - BOREGAON (PKG-III) [BALWARA TO DHANGAON] FROM KM. 42.260 TO KM. 82.660 OF NH347BG AND,NHAI,N24001767,,,,1-2021,,4/2024,,1001.69,1001.69,520.29,83.0,April-June 2025 Q1,150.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,12/2025,,N24001767,1001.69,1001.69,520.29,83.0,51.94121933931655,-31.058780660683453,0.0,0.9299999999999999,0.0,0,0
810,,,BALANCE WORK OF 4L OF INDORE- GUJARAT/MP BORDER FROM KM 106.210 TO KM 115.250 (START AND END POINT OF,NHAI,N24001768,,,,8-2019,,4/2023,,323.51,323.51,246.27,100.0,April-June 2025 Q1,151.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,11/2023,,N24001768,323.51,323.51,246.27,100.0,76.12438564495689,-23.875614355043112,0.0,1.1,0.0,0,0
787,,,SHARDA UG,WCL,N06000266,,,,9-2023,,3/2028,,166.25,200.16,1.69,11.0,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2028,,N06000266,166.25,200.16,1.69,11.0,0.8443245403677059,-10.155675459632294,20.396992481203004,0.21000000000000002,0.0,0,1
811,,,4L OF OBEDULLGANJ - BUDNI SECTION FROM KM. 8.400 TO KM. 20.700 IN RATANPANI WILDLIFE AREA OF NH - 69,NHAI,N24001770,,,,2-2022,,3/2024,01-03-2025,417.51,417.51,312.94,100.0,April-June 2025 Q1,151.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2025,,N24001770,417.51,417.51,312.94,100.0,74.95389331992048,-25.046106680079518,0.0,1.1,0.0,0,0
786,,,URDHAN OC,WCL,N06000265,,,,1-2023,,3/2031,,206.88,228.42,22.12,9.0,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2031,,N06000265,206.88,228.42,22.12,9.0,9.68391559408108,0.6839155940810802,10.411832946635727,0.19,0.0,0,1
784,,,AMALGAMATED DHANKASA JAMUNIA UG (1.84 MTY),WCL,N06000257,,,,9-2022,,3/2027,,399.2,497.01,64.13,42.0,April-June 2025 Q1,148.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2027,,N06000257,399.2,497.01,64.13,42.0,12.903160902195127,-29.096839097804875,24.501503006012026,0.52,0.0,0,1
761,,,SIX LANING OF KT/KL BORDER (THALAPPDY) TO CHENGALA SECTION OF NH17 (NEW NH-66) FROM CH. 17.200 TO CH,NHAI,N24001662,,,,5-2020,,5/2024,01-11-2021,1981.07,2651.79,1543.14,97.38,April-June 2025 Q1,145.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,7/2025,1981.07,N24001662,1981.07,2651.79,1543.14,97.38,58.19239080017648,-39.18760919982351,33.85645131166491,1.0738,0.0,0,1
762,,,SIX LANING OF NEELESHWARAM TO THALIPARAMBHA SECTION FROM CH. 94+540 (EXISTING KM 96+450) TO CH. 134+,NHAI,N24001663,,,,6-2020,,4/2024,01-10-2021,3041.65,3867.66,2406.52,82.75,April-June 2025 Q1,146.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2026,3041.65,N24001663,3041.65,3867.66,2406.52,82.75,62.22160169197913,-20.52839830802087,27.15664195420248,0.9275,0.0,0,1
763,,,SIX LANING OF CHENGALA TO NEELESHWARAM SECTION OF NH-17 (NEW NH- 66) FROM CH. 56+200 (EXISTING KM 57+,NHAI,N24001664,,,,6-2020,,4/2024,01-10-2021,1746.45,2538.06,1262.19,79.25,April-June 2025 Q1,146.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,3/2026,1746.45,N24001664,1746.45,2538.06,1262.19,79.25,49.730502824992314,-29.519497175007686,45.326805806063724,0.8925,0.0,0,1
764,,,WIDENING/DEVELOPMENT OF EXISTING NH-85 FROM KM 0.000 TO KM 124.636 SECTION TO 2L/@L+PS SECTION IN TH,NHAI,N24002074,,,,8-2022,,6/2025,,1231.74,1231.74,486.0,49.7,April-June 2025 Q1,146.0,QPISR_QR_1st_2025-26_All_Ongoing_Projects_Structured.csv,2025-04-01,6/2025,,N24002074,1231.74,1231.74,486.0,49.7,39.4563787812363,-10.2436212187637,0.0,0.5970000000000001,0.0,0,0
